"S","M","Amu","d_z","P.alpha","P.gamma","P.slope","E.slope","type"
10,10,-0.9,1,NA,0.2,NA,0.08,"Negative DD"
100,10,-0.9,1,NA,0.833333333333333,NA,0.9,"Negative DD"
10,100,-0.9,1,NA,0,NA,-0.074,"Negative DD"
100,100,-0.9,1,NA,0.634146341463415,NA,5.078,"Negative DD"
10,10,-0.5,1,NA,0.571428571428571,NA,0.33,"Negative DD"
100,10,-0.5,1,0.851273726273726,0.786885245901639,-0.00643884803720869,4.03,"Negative DD"
10,100,-0.5,1,NA,0,NA,-0.077,"Negative DD"
100,100,-0.5,1,0.886670662670663,0.33,-0.0556670662670663,2.346,"Negative DD"
10,10,-0.1,1,NA,0.5,NA,0.33,"Negative DD"
100,10,-0.1,1,0.834189976689977,0.745454545454545,-0.00887354312354313,3.26,"Negative DD"
10,100,-0.1,1,NA,0,NA,-0.161,"Negative DD"
100,100,-0.1,1,0.682680608607079,0.102040816326531,-0.0580639792280549,0.392,"Negative DD"
10,10,-0.9,1.2,NA,0.571428571428571,NA,0.31,"Negative DD"
100,10,-0.9,1.2,0.876666666666667,0.838709677419355,-0.00379569892473118,2.27,"Negative DD"
10,100,-0.9,1.2,NA,0,NA,-0.013,"Negative DD"
100,100,-0.9,1.2,NA,0.6,NA,4.384,"Negative DD"
10,10,-0.5,1.2,NA,0.571428571428571,NA,0.35,"Negative DD"
100,10,-0.5,1.2,0.611428571428571,0.641025641025641,0.00295970695970696,2.17,"Negative DD"
10,100,-0.5,1.2,NA,0.5,NA,0.443,"Negative DD"
100,100,-0.5,1.2,NA,0.275510204081633,NA,2.476,"Negative DD"
10,10,-0.1,1.2,0.338333333333333,0.1,-0.0238333333333333,-0.01,"Negative DD"
100,10,-0.1,1.2,0.726547619047619,0.645833333333333,-0.00807142857142856,2.55,"Negative DD"
10,100,-0.1,1.2,NA,0,NA,-0.12,"Negative DD"
100,100,-0.1,1.2,0.60371028971029,0.0909090909090909,-0.0512801198801199,0.421,"Negative DD"
10,10,-0.9,1.4,NA,0.777777777777778,NA,0.52,"Negative DD"
100,10,-0.9,1.4,0.896666666666667,0.870967741935484,-0.00256989247311828,2.43,"Negative DD"
10,100,-0.9,1.4,NA,0,NA,-0.146,"Negative DD"
100,100,-0.9,1.4,NA,0.553846153846154,NA,3.516,"Negative DD"
10,10,-0.5,1.4,0.866666666666667,0.555555555555556,-0.0311111111111111,0.26,"Negative DD"
100,10,-0.5,1.4,NA,0.555555555555556,NA,1.35,"Negative DD"
10,100,-0.5,1.4,NA,0,NA,-0.045,"Negative DD"
100,100,-0.5,1.4,0.853006132756133,0.36,-0.0493006132756133,3.013,"Negative DD"
10,10,-0.1,1.4,NA,0.444444444444444,NA,0.17,"Negative DD"
100,10,-0.1,1.4,0.598809523809524,0.51063829787234,-0.00881712259371834,2.01,"Negative DD"
10,100,-0.1,1.4,NA,0.1,NA,-0.158,"Negative DD"
100,100,-0.1,1.4,0.599016850194869,0.04,-0.0559016850194869,-0.412,"Negative DD"
10,10,-0.9,1.6,NA,0.333333333333333,NA,0.16,"Negative DD"
100,10,-0.9,1.6,0.654661172161172,0.617021276595745,-0.00376398955654275,2.48,"Negative DD"
10,100,-0.9,1.6,NA,0,NA,-0.093,"Negative DD"
100,100,-0.9,1.6,0.884344821844822,0.39,-0.0494344821844822,3.095,"Negative DD"
10,10,-0.5,1.6,NA,0.666666666666667,NA,0.47,"Negative DD"
100,10,-0.5,1.6,0.753095238095238,0.692307692307692,-0.00607875457875458,2.35,"Negative DD"
10,100,-0.5,1.6,NA,0,NA,-0.13,"Negative DD"
100,100,-0.5,1.6,0.923808650319622,0.06,-0.0863808650319622,-2.965,"Negative DD"
10,10,-0.1,1.6,0.52047619047619,0.1,-0.042047619047619,-0.16,"Negative DD"
100,10,-0.1,1.6,0.760494089673656,0.607142857142857,-0.0153351232530799,3.92,"Negative DD"
10,100,-0.1,1.6,0.756178571428571,0,-0.0756178571428572,-0.3,"Negative DD"
100,100,-0.1,1.6,0.855226438920557,0.25,-0.0605226438920557,1.242,"Negative DD"
10,10,-0.9,1.8,NA,0.125,NA,0.05,"Negative DD"
100,10,-0.9,1.8,0.750511305000469,0.548780487804878,-0.0201730817195591,3.3,"Negative DD"
10,100,-0.9,1.8,NA,0.1,NA,-0.099,"Negative DD"
100,100,-0.9,1.8,0.78277559009954,0.03,-0.075277559009954,-0.841,"Negative DD"
10,10,-0.5,1.8,0.789880952380952,0.4,-0.0389880952380952,0.01,"Negative DD"
100,10,-0.5,1.8,0.527261904761905,0.543478260869565,0.00162163561076604,2.18,"Negative DD"
