"alpha","beta","N.tot","S.frac","sigma","cv.abund","S.tot","alpha.const","slope.P","slope.E","slope.S1","mean.P.minus","mean.log.abund","E.happened","type"
0.01,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.948378652818626,5.42485163218408e-08,2.96611085273861,FALSE,"Negative DD"
0.1,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.855854606323255,2.85549591201777e-07,2.96959660882557,FALSE,"Negative DD"
0.3,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.854397092992298,4.2491097191845e-07,2.97862069588166,FALSE,"Negative DD"
0.5,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.865005694438081,9.48848176721868e-07,2.98388415754514,FALSE,"Negative DD"
0.7,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.903945520686882,2.2089467754732e-06,2.98426258717554,FALSE,"Negative DD"
0.9,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.836314651354468,0.00139328359647106,2.91560690726041,FALSE,"Negative DD"
0.99,-4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.888348024314264,0.000332101192893826,2.95610549039195,FALSE,"Negative DD"
0.01,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.87009566661346,1.48011477435998e-05,2.97189813019586,FALSE,"Negative DD"
0.1,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.82583534851027,0.00012579385939292,2.97768099172535,FALSE,"Negative DD"
0.3,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.82486379534642,0.000432420105597221,2.98083066311898,FALSE,"Negative DD"
0.5,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.882990190480963,0.00172658039595665,2.96853396171172,FALSE,"Negative DD"
0.7,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.954576963383586,0.00203276896325191,2.98670507878144,FALSE,"Negative DD"
0.9,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.813777617780569,0.00987097106701246,2.97664404837851,FALSE,"Negative DD"
0.99,-1,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.848901847375073,0.092228056127085,2.9758586556551,FALSE,"Negative DD"
0.01,-0.4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.918406684589679,0.00186825219237385,2.93481748552959,FALSE,"Negative DD"
0.1,-0.4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.798602357375412,0.0209348200881502,2.98706724860632,FALSE,"Negative DD"
0.3,-0.4,100,0.05,0.01,0.1,5,TRUE,NA,NA,0.871857845279494,0.0740201273568321,2.95250178929142,FALSE,"Negative DD"
0.5,-0.4,100,0.05,0.01,0.1,5,TRUE,-0.018033688011112,-11.9470837354298,0.898938876932218,0.157991294186443,2.97523850011945,TRUE,"Negative DD"
